split,image_path,image_name,image_stem,image_ext,exists,label_path,label_exists,width_px,height_px,channels,megapixels,aspect_ratio_image,file_size_kb,image_ok,image_error,box_count,has_objects,audit_errors
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-1-img-1.jpg,BG-1-img-1.jpg,BG-1-img-1,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-1-img-1.txt,True,2048,2048,3,4.194304,1.0,864.0126953125,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-1-img-3.jpg,BG-1-img-3.jpg,BG-1-img-3,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-1-img-3.txt,True,2048,2048,3,4.194304,1.0,901.6943359375,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-1.jpg,BG-10-img-1.jpg,BG-10-img-1,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-1.txt,True,2048,2048,3,4.194304,1.0,857.509765625,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-2.jpg,BG-10-img-2.jpg,BG-10-img-2,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-2.txt,True,2048,2048,3,4.194304,1.0,935.513671875,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-10-img-3.jpg,BG-10-img-3.jpg,BG-10-img-3,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-10-img-3.txt,True,2048,2048,3,4.194304,1.0,908.22265625,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-12-img-1.jpg,BG-12-img-1.jpg,BG-12-img-1,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-12-img-1.txt,True,2048,2048,3,4.194304,1.0,697.0205078125,True,,2,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-12-img-2.jpg,BG-12-img-2.jpg,BG-12-img-2,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-12-img-2.txt,True,2048,2048,3,4.194304,1.0,658.673828125,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-1.jpg,BG-13-img-1.jpg,BG-13-img-1,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-1.txt,True,2048,2048,3,4.194304,1.0,840.662109375,True,,1,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-2.jpg,BG-13-img-2.jpg,BG-13-img-2,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-2.txt,True,2048,2048,3,4.194304,1.0,614.5107421875,True,,2,True,
train,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/images/train/BG-13-img-3.jpg,BG-13-img-3.jpg,BG-13-img-3,.jpg,True,/home/drnguyenvinh/notebooks/shrimp_yolo_canonical_bg_wssv_2cls_split70_15_15/labels/train/BG-13-img-3.txt,True,2048,2048,3,4.194304,1.0,581.04296875,True,,1,True,
