score,hash_hamming,color_l1,ewu_image,ewu_path,ewu_label_path,ewu_group,ewu_masks,ewu_classes,hand_image,hand_path,hand_label_path,hand_group,hand_masks,hand_classes
0.0,0,0.0,Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_318-1-_jpg.rf.2a2a215d5bf2fd7002536cdc57e8607f.txt,shrimp::318,2,whitespot,WSSV-1-img-1_jpg.rf.c276fa7eebf46bba4309e92da030c4ce.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-1-img-1_jpg.rf.c276fa7eebf46bba4309e92da030c4ce.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-1-img-1_jpg.rf.c276fa7eebf46bba4309e92da030c4ce.txt,wssv::1,1,WSSV
0.0,0,0.0,Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_320_jpg.rf.d5bf1b1dc7cbb65c899e3a953da528c6.txt,shrimp::320,2,whitespot,WSSV-3-img-1_jpg.rf.d18c0cd5062769d2d8937ac55ba73008.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-3-img-1_jpg.rf.d18c0cd5062769d2d8937ac55ba73008.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-3-img-1_jpg.rf.d18c0cd5062769d2d8937ac55ba73008.txt,wssv::3,1,WSSV
0.0,0,0.0,Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_321-1-_jpg.rf.1c244723dfb11b6e90d3973752357369.txt,shrimp::321,2,whitespot,WSSV-4-img-1_jpg.rf.4b1e750a176bfd8d132664ecc28e3e18.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-4-img-1_jpg.rf.4b1e750a176bfd8d132664ecc28e3e18.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-4-img-1_jpg.rf.4b1e750a176bfd8d132664ecc28e3e18.txt,wssv::4,1,WSSV
0.0,0,0.0,Shrimp_322-1-_jpg.rf.21c212e745a38c1cc4017838cdd98370.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_322-1-_jpg.rf.21c212e745a38c1cc4017838cdd98370.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_322-1-_jpg.rf.21c212e745a38c1cc4017838cdd98370.txt,shrimp::322,4,whitespot,WSSV-5-img-1_jpg.rf.b3a4683c309e471d91ae9f369edec48b.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-5-img-1_jpg.rf.b3a4683c309e471d91ae9f369edec48b.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-5-img-1_jpg.rf.b3a4683c309e471d91ae9f369edec48b.txt,wssv::5,1,WSSV
0.0,0,0.0,Shrimp_326-1-_jpg.rf.06e720b11e39183c043d0a85f96bf437.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_326-1-_jpg.rf.06e720b11e39183c043d0a85f96bf437.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_326-1-_jpg.rf.06e720b11e39183c043d0a85f96bf437.txt,shrimp::326,3,whitespot,WSSV-9-img-1_jpg.rf.6aec36dfdd5d8c68a8ef4cad6b529852.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-9-img-1_jpg.rf.6aec36dfdd5d8c68a8ef4cad6b529852.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-9-img-1_jpg.rf.6aec36dfdd5d8c68a8ef4cad6b529852.txt,wssv::9,1,WSSV
0.0,0,0.0,Shrimp_327-1-_jpg.rf.e5da2428aa37fdd2b4f1b4f83ee04cd5.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_327-1-_jpg.rf.e5da2428aa37fdd2b4f1b4f83ee04cd5.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_327-1-_jpg.rf.e5da2428aa37fdd2b4f1b4f83ee04cd5.txt,shrimp::327,3,whitespot,WSSV-10-img-1_jpg.rf.95d1021a8ebfa600ceedfb8cf5fd5b4c.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-10-img-1_jpg.rf.95d1021a8ebfa600ceedfb8cf5fd5b4c.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-10-img-1_jpg.rf.95d1021a8ebfa600ceedfb8cf5fd5b4c.txt,wssv::10,1,WSSV
0.0,0,0.0,Shrimp_328-1-_jpg.rf.9d6e6536d6fb158b7d91d1d44b50b761.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_328-1-_jpg.rf.9d6e6536d6fb158b7d91d1d44b50b761.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_328-1-_jpg.rf.9d6e6536d6fb158b7d91d1d44b50b761.txt,shrimp::328,2,whitespot,WSSV-11-img-1_jpg.rf.e7de0da7b818c01308f4490784138a75.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-11-img-1_jpg.rf.e7de0da7b818c01308f4490784138a75.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-11-img-1_jpg.rf.e7de0da7b818c01308f4490784138a75.txt,wssv::11,1,WSSV
0.0,0,0.0,Shrimp_333-1-_jpg.rf.03dc55626a3361e1b846d3f72133bcad.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_333-1-_jpg.rf.03dc55626a3361e1b846d3f72133bcad.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_333-1-_jpg.rf.03dc55626a3361e1b846d3f72133bcad.txt,shrimp::333,2,whitespot,WSSV-16-img-1_jpg.rf.91cca85ade934a88ab5078de1d1f2ffb.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-16-img-1_jpg.rf.91cca85ade934a88ab5078de1d1f2ffb.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-16-img-1_jpg.rf.91cca85ade934a88ab5078de1d1f2ffb.txt,wssv::16,1,WSSV
0.0,0,0.0,Shrimp_334-1-_jpg.rf.31f0008585c246ecaa437f5e4475b4b4.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_334-1-_jpg.rf.31f0008585c246ecaa437f5e4475b4b4.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_334-1-_jpg.rf.31f0008585c246ecaa437f5e4475b4b4.txt,shrimp::334,3,whitespot,WSSV-17-img-1_jpg.rf.417e83f656a30a56e04b87e3d9aea8a9.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-17-img-1_jpg.rf.417e83f656a30a56e04b87e3d9aea8a9.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-17-img-1_jpg.rf.417e83f656a30a56e04b87e3d9aea8a9.txt,wssv::17,1,WSSV
0.0,0,0.0,Shrimp_335-1-_jpg.rf.c0993682e4ad54cef6ef7e56f58da834.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\images\Shrimp_335-1-_jpg.rf.c0993682e4ad54cef6ef7e56f58da834.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\ewu_shrimp_disease-1\train\labels\Shrimp_335-1-_jpg.rf.c0993682e4ad54cef6ef7e56f58da834.txt,shrimp::335,2,whitespot,WSSV-18-img-1_jpg.rf.72b318e2bdda72a085cbe1a02d4e4c9a.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\images\WSSV-18-img-1_jpg.rf.72b318e2bdda72a085cbe1a02d4e4c9a.jpg,C:\Users\Admin\workspace\CVio_Shrimp_Disease_Classification_Capstone_SU26\augmentation_research\baseline_opt\super_paper_fix_leakage_fourier_fair_optimization\shrimpDisHandSegV2-1\train\labels\WSSV-18-img-1_jpg.rf.72b318e2bdda72a085cbe1a02d4e4c9a.txt,wssv::18,1,WSSV
