"rel_path","filename","class_dir","class_name","label","md5","split"
"1. Healthy/Healthy-1-img-1_nobg.png","Healthy-1-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-1-img-3_nobg.png","Healthy-1-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-10-img-1_nobg.png","Healthy-10-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-10-img-3_nobg.png","Healthy-10-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-100-img-1_nobg.png","Healthy-100-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-100-img-2_nobg.png","Healthy-100-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-101-img-1_nobg.png","Healthy-101-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-101-img-2_nobg.png","Healthy-101-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-101-img-3_nobg.png","Healthy-101-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-102-img-1_nobg.png","Healthy-102-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-103-img-1_nobg.png","Healthy-103-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-103-img-2_nobg.png","Healthy-103-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-103-img-3_nobg.png","Healthy-103-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-104-img-1_nobg.png","Healthy-104-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-104-img-2_nobg.png","Healthy-104-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-105-img-3_nobg.png","Healthy-105-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-106-img-1_nobg.png","Healthy-106-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-106-img-2_nobg.png","Healthy-106-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-106-img-3_nobg.png","Healthy-106-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-107-img-1_nobg.png","Healthy-107-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-107-img-3_nobg.png","Healthy-107-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-108-img-1_nobg.png","Healthy-108-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-108-img-2_nobg.png","Healthy-108-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-108-img-3_nobg.png","Healthy-108-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-109-img-2_nobg.png","Healthy-109-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-11-img-1_nobg.png","Healthy-11-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-11-img-2_nobg.png","Healthy-11-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-11-img-3_nobg.png","Healthy-11-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-110-img-1_nobg.png","Healthy-110-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-110-img-2_nobg.png","Healthy-110-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-111-img-1_nobg.png","Healthy-111-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-111-img-2_nobg.png","Healthy-111-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-112-img-1_nobg.png","Healthy-112-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-112-img-2_nobg.png","Healthy-112-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-112-img-3_nobg.png","Healthy-112-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-114-img-2_nobg.png","Healthy-114-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-115-img-3_nobg.png","Healthy-115-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-116-img-1_nobg.png","Healthy-116-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-117-img-1_nobg.png","Healthy-117-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-117-img-3_nobg.png","Healthy-117-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-118-img-1_nobg.png","Healthy-118-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-119-img-1_nobg.png","Healthy-119-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-119-img-3_nobg.png","Healthy-119-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-12-img-1_nobg.png","Healthy-12-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-12-img-2_nobg.png","Healthy-12-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-12-img-3_nobg.png","Healthy-12-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-120-img-1_nobg.png","Healthy-120-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-120-img-2_nobg.png","Healthy-120-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-121-img-1_nobg.png","Healthy-121-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-121-img-2_nobg.png","Healthy-121-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-121-img-3_nobg.png","Healthy-121-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-122-img-1_nobg.png","Healthy-122-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-122-img-2_nobg.png","Healthy-122-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-122-img-3_nobg.png","Healthy-122-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-123-img-1_nobg.png","Healthy-123-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-123-img-2_nobg.png","Healthy-123-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-124-img-1_nobg.png","Healthy-124-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-124-img-2_nobg.png","Healthy-124-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-124-img-3_nobg.png","Healthy-124-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-125-img-1_nobg.png","Healthy-125-img-1_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-125-img-2_nobg.png","Healthy-125-img-2_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-125-img-3_nobg.png","Healthy-125-img-3_nobg.png","1. Healthy","Healthy","0","","train"
"1. Healthy/Healthy-126-img-3_nobg.png","Healthy-126-img-3_nobg.png","1. Healthy","Healthy","0","","train"
